date,BYR,USD,EUR,KZT,UAH
2003-01,0.016456099999999998,31.8327,33.4339,0.204402,5.94581
2003-02,0.0161704,31.7101,34.044,0.206053,5.91452
2003-03,0.0158368,31.4407,34.6885,0.207882,5.87205
2003-04,0.015553800000000001,31.2849,33.7251,0.205669,5.82587
2003-05,0.015222200000000002,31.0076,35.851,0.20532499999999998,5.7419400000000005
2003-06,0.0148377,30.5123,35.7726,0.204635,5.60682
2003-07,0.0146654,30.3808,34.4154,0.206952,5.6669
2003-08,0.0145262,30.3524,34.5016,0.207024,5.63187
2003-09,0.014583,30.659,34.2921,0.207729,5.69859
2003-10,0.0142571,30.235,35.4233,0.205239,5.60655
2003-11,0.0139197,29.8104,34.4877,0.201858,5.52987
2003-12,0.0136648,29.4394,35.866,0.20275300000000002,5.46845
2004-01,0.0133428,28.8711,37.16,0.202496,5.36378
2004-02,0.0132083,28.518,36.5857,0.205045,5.28033
2004-03,0.013230800000000001,28.5083,35.0053,0.205249,5.2893099999999995
2004-04,0.0132431,28.5535,34.4412,0.207121,5.31515
2004-05,0.0134483,29.0587,34.4636,0.211793,5.4216999999999995
2004-06,0.0134517,29.0287,34.8954,0.213263,5.4330300000000005
2004-07,0.0134509,29.1332,36.1339,0.21531,5.45719
2004-08,0.013517699999999999,29.276,35.8338,0.21620799999999998,5.48106
2004-09,0.0134603,29.2166,35.7436,0.21516300000000002,5.4472000000000005
2004-10,0.0133855,29.1152,35.9573,0.217924,5.41255
2004-11,0.013144600000000001,28.6651,37.0353,0.218943,5.33294
2004-12,0.0128951,28.1243,37.2788,0.216228,5.22135
2005-01,0.0128162,27.88,36.5953,0.214442,5.17379
2005-02,0.0129238,28.0688,36.1302,0.215886,5.28951
2005-03,0.0127301,27.4629,36.8772,0.211372,5.2089
2005-04,0.012864599999999999,27.765,36.064,0.21243800000000002,5.29412
2005-05,0.0129392,27.8677,35.6121,0.212121,5.48501
2005-06,0.0132251,28.4671,34.7925,0.212335,5.60994
2005-07,0.013284,28.5938,34.7844,0.210612,5.670450000000001
2005-08,0.013157,28.3122,35.3081,0.209467,5.6160499999999995
2005-09,0.0131654,28.3566,34.9665,0.211645,5.59092
2005-10,0.013298500000000001,28.625,34.2412,0.21396300000000001,5.59694
2005-11,0.0134177,28.879,33.8,0.215058,5.60953
2005-12,0.013406900000000001,28.8571,34.1639,0.215405,5.67562
2006-01,0.0131855,28.3966,34.4763,0.21263400000000002,5.56698
2006-02,0.0131268,28.2411,33.8244,0.21479399999999998,5.52999
2006-03,0.013025700000000001,28.0203,33.3946,0.216943,5.47731
2006-04,0.012861800000000001,27.6625,33.6072,0.21506599999999998,5.4240200000000005
2006-05,0.0125419,26.9431,34.6892,0.22166,5.34585
2006-06,0.0125938,27.0079,34.1407,0.224772,5.381349999999999
2006-07,0.0125342,26.867,34.3011,0.227084,5.32875
2006-08,0.012504,26.793,34.2039,0.218701,5.31533
2006-09,0.012498100000000002,26.7764,34.0435,0.212427,5.2989
2006-10,0.0125817,26.9508,33.7963,0.210976,5.3234
2006-11,0.0124274,26.6195,34.238,0.20830100000000001,5.247809999999999
2006-12,0.0122632,26.2609,34.7616,0.205169,5.19761
2007-01,0.012402900000000001,26.577,34.3136,0.211929,5.2601700000000005
2007-02,0.0122426,26.3414,34.3097,0.211535,5.20129
2007-03,0.0122075,26.2278,34.4292,0.21198499999999998,5.17814
2007-04,0.0120455,25.8647,34.8423,0.211745,5.1108899999999995
2007-05,0.0120234,25.8594,34.8585,0.214592,5.12636
2007-06,0.01208,25.9811,34.7471,0.213537,5.14987
2007-07,0.0118793,25.5167,35.1263,0.209665,5.0603299999999996
2007-08,0.0118554,25.507,34.8808,0.204051,5.06876
2007-09,0.011809,25.4056,35.2223,0.207973,5.05082
2007-10,0.0115739,24.9216,35.3363,0.206461,4.93741
2007-11,0.0113717,24.4946,35.8674,0.202969,4.83481
2007-12,0.011327400000000001,24.4432,35.9242,0.20250900000000002,4.81668
2008-01,0.0112948,24.3671,36.0389,0.20212700000000003,4.78781
2008-02,0.011462199999999999,24.6537,35.8317,0.204796,4.829890000000001
2008-03,0.0111028,23.8461,36.6538,0.19754000000000002,4.6785499999999995
2008-04,0.010939899999999999,23.4825,37.107,0.19484,4.66413
2008-05,0.0111355,23.8328,36.6715,0.197651,4.7989
2008-06,0.0111006,23.6748,36.6841,0.1961,4.93976
2008-07,0.011021000000000001,23.3727,36.8774,0.194376,5.05903
2008-08,0.011525800000000001,24.3424,36.185,0.20258299999999999,5.26322
2008-09,0.0121692,25.7013,36.0821,0.21510100000000001,5.3852899999999995
2008-10,0.0124003,26.208,35.5171,0.218646,4.86234
2008-11,0.0129976,27.4704,34.6319,0.228644,4.7485599999999994
2008-12,0.0126456,27.8077,36.9008,0.23072099999999998,3.62315
2009-01,0.011715099999999999,30.9981,41.5282,0.25577,4.02311
2009-02,0.012446500000000001,34.8003,44.9655,0.234401,4.26998
2009-03,0.0122507,35.2944,45.0674,0.2346,4.2885100000000005
2009-04,0.0119216,33.6309,44.1607,0.222802,4.17257
2009-05,0.0116121,32.2817,43.9709,0.214925,4.12546
2009-06,0.010958,30.9124,43.3546,0.20552800000000002,4.05941
2009-07,0.011193300000000002,32.0353,44.6732,0.212788,4.19585
2009-08,0.0114993,32.6926,46.1718,0.216773,4.0020299999999995
2009-09,0.0110045,30.7246,44.8886,0.203623,3.66533
2009-10,0.0107891,29.5945,43.5069,0.196354,3.54638
2009-11,0.0105755,28.6701,42.9134,0.190905,3.51349
2009-12,0.010574299999999998,30.2107,44.4913,0.20273599999999997,3.77634
2010-01,0.010369699999999999,29.3774,42.6149,0.198349,3.6607399999999997
2010-02,0.0104034,30.1595,41.1737,0.203918,3.75118
2010-03,0.0099592,29.3897,40.261,0.19981400000000002,3.6836100000000003
2010-04,0.0097091,28.9428,39.4982,0.19720500000000002,3.6543900000000002
2010-05,0.010115500000000001,30.2048,38.194,0.20596499999999998,3.79219
2010-06,0.0104164,31.4471,38.0982,0.21385300000000002,3.94816
2010-07,0.0102736,30.8823,38.8716,0.20918,3.90668
2010-08,0.0102145,30.4493,39.3009,0.20616299999999999,3.8593200000000003
